Facility #,Facility Name,Facility Name Overflow,Facility Street,Facility City,Facility State,Facility Zip Code,Facility County,Owner Name ,Owner Name Overflow,Business Type,Original Issuance Date,Last Renewal Date,Expiration Date,Georeference
7098403,TUG HILL TRACTOR,,763 RTE 177,COPENHAGEN,NY,13626,LEWI,MICHAEL R DURANTINO,,DLU,08/14/2006,09/19/2018,09/30/2020,POINT (-75.781499574 43.808744412)
4230316,FRANKS AUTO REPAIR,,POBOX3 DEER RIVER RD,DEER RIVER,NY,13627,LEWI,FRANK R KIMPLE,,DLU,03/28/1983,07/05/2017,07/31/2019,POINT (-75.626441098 43.926215717)
7123788,DEER RUN RIDES &,EQUIPMENT,PB239 6105PNE GRV RD,GLENFIELD,NY,13343,LEWI,STEPHEN J PARAGON,,DLU,04/11/2018,,03/31/2020,POINT (-75.367250161 43.718298941)
7108091,RIVERSIDE MOTORS LLC,,5901 STATE ROUTE 12,GLENFIELD,NY,13343,LEWI,MARK MCDONALD,,DLU,04/07/2009,03/08/2023,03/31/2025,POINT (-75.410782315 43.719375002)
7055818,S&M AUTO SALES,,7198 CHASE LAKE RD,GLENFIELD,NY,13343,LEWI,STEVEN BRIAN BLOW,,DLU,06/28/1991,04/21/2023,05/31/2025,POINT (-75.351937979 43.778548352)
7019320,VNR SALES,,5807 STATE ROUTE 12,GLENFIELD,NY,13343,LEWI,VINCENT N ROSS,,DLU,12/31/1981,07/03/2019,06/30/2021,POINT (-75.409188091 43.711381063)
7082451,VIKING CIVES USA,,14331 MILL STREET,HARRISVILLE,NY,13648,LEWI,CIVES CORPORATION,,DLU,02/09/2023,05/15/2024,07/31/2026,POINT (-75.32249348 44.157299569)
7111263,BROWNS AUTO SALES &,SERVICE,PB335 6878 OLMSTAD R,LOWVILLE,NY,13367,LEWI,TRACY A BROWN,ETAL,DLU,11/10/2010,09/12/2022,10/31/2024,POINT (-75.421976026 43.791770848)
7121179,CLEAN SOUTHERN CARS,,BX 372 5260 DAYAN ST,LOWVILLE,NY,13367,LEWI,BRIAN D SIEGRIST,,DLU,06/29/2016,05/11/2018,05/31/2020,POINT (-75.50266031 43.787509782)
7029347,D&D POWERSPORT LLC,,4527 STATE RT 410,LOWVILLE,NY,13367,LEWI,DALE ROES,,DLU,03/29/1985,02/24/2017,02/28/2019,POINT (-75.550714599 43.873319264)
7029347,D&D POWERSPORT LLC,,4527 STATE RT 410,LOWVILLE,NY,13367,LEWI,DALE ROES,,DLB,07/13/1989,02/24/2017,02/28/2019,POINT (-75.550714599 43.873319264)
7126958,EMPIRE CHRYSLER,DODGE JEEP RAM,7468 SOUTH STATE ST,LOWVILLE,NY,13367,LEWI,EMPIRE AUTOMOTIVE OF,NORTHERN NY INC,DLN,06/15/2020,04/26/2024,05/31/2026,POINT (-75.486452391 43.782015528)
4250010,ESSENLOHR MOTORS INC,,7393 UTICA BLVD,LOWVILLE,NY,13367,LEWI,RANDALL G ESSENLOHR,,DLN,11/19/1980,06/28/2023,07/31/2025,POINT (-75.483735062 43.77753867)
4250007,GERALD A NORTZ INC,,7490 S STATE ST,LOWVILLE,NY,13367,LEWI,GERALD A NORTZ 2,,DLN,12/24/1980,06/25/2019,07/31/2021,POINT (-75.489571716 43.783544136)
7058389,HILLS AUTO SALES,,PO BOX 228 ROUTE 26,LOWVILLE,NY,13367,LEWI,ANN MARIE HILL,,DLU,04/22/1992,02/08/2024,03/31/2026,POINT (-75.545305668 43.863328687)
7007567,KAFLINES USED AUTO,PARTS,6731 SNELL RD,LOWVILLE,NY,13367,LEWI,PAUL J KAFLINE,,DLU,05/19/1983,01/24/2024,02/28/2026,POINT (-75.427353268 43.793724921)
7007220,LEES AUTO SALES LLC,,7362 UTICA BLVD,LOWVILLE,NY,13367,LEWI,DENNIS R LEE,,DLU,01/10/1983,07/28/2022,09/30/2024,POINT (-75.477913495 43.776392654)
7003726,LOWVILLE SPORT &,FARM EQUIPMENT INC,6371 E MARTINSBRG RD,LOWVILLE,NY,13367,LEWI,TERRENCE J THISSE,,DLB,02/26/1996,10/02/2023,11/30/2025,POINT (-75.429059069 43.751251345)
7003726,LOWVILLE SPORT &,FARM EQUIPMENT INC,6371 E MARTINSBRG RD,LOWVILLE,NY,13367,LEWI,TERRENCE J THISSE,,DLU,12/31/1981,10/02/2023,11/30/2025,POINT (-75.429059069 43.751251345)
4250082,MONNAT BROTHERS INC,,6631 STATE RT 12,LOWVILLE,NY,13367,LEWI,STEPHEN MONNAT,,DLU,08/06/1990,08/15/2023,09/30/2025,POINT (-75.447327511 43.756454328)
4250004,NORTZ VIRKLER INC,,7468 S STATE ST,LOWVILLE,NY,13367,LEWI,TIMOTHY O NORTZ,,DLN,11/19/1980,06/28/2023,07/31/2025,POINT (-75.486452391 43.782015528)
7111150,TURCKS GARAGE,,5589 SHADY AVENUE,LOWVILLE,NY,13367,LEWI,THOMAS P TURCK 3,,DLU,02/03/2012,08/09/2024,09/30/2026,POINT (-75.482363013 43.788081391)
7105616,WHITES FARM SUPPLY,INC,8207 STATE ROUTE 26,LOWVILLE,NY,13367,LEWI,DALE A WHITE,,DLU,02/27/2008,02/08/2024,01/31/2026,POINT (-75.518767478 43.830219351)
7111340,MOONEY MOTORS,,BX 715 4809 SHIBLEY,LYONS FALLS,NY,13368,LEWI,JOSHUA C MOONEY,,DLU,11/22/2010,10/17/2022,10/31/2024,POINT (-75.3626234 43.6211928)
7100720,BARBS AUTO,,8115 MOOSE RIVER RD,PORT LEYDEN,NY,13433,LEWI,PHILLIP BOARDMAN,,DLU,11/16/2005,12/16/2021,10/31/2023,POINT (-75.238717196 43.572229023)
7095568,SHUE BROS EXCAVATNG&,LOGGING INC,3579 KELPYTOWN RD,PORT LEYDEN,NY,13433,LEWI,RONALD J SHUE,,DLU,02/19/2008,06/27/2023,07/31/2025,POINT (-75.354681162 43.598821239)
7109566,M&B MOTORSPORTS,,PBX4 1411 CMP FOUR R,TABERG,NY,13471,LEWI,MICHAEL J MEMERY,,DLS,01/07/2010,12/04/2023,12/31/2025,POINT (-75.60015626 43.46577705)
7118163,DAK AUTO SALES,,5764 HOUSEVILLE GULF,TURIN,NY,13473,LEWI,MICHAEL L GATES,,DLU,07/28/2014,06/09/2020,06/30/2022,POINT (-75.445061547 43.681003076)
7126711,WEST WIND POWER,SPORTS,4725 NY 26,TURIN,NY,13473,LEWI,WEST WIND GATEWAYS,INC,DLS,02/14/2020,,01/31/2022,POINT (-75.420463763 43.647229329)
7132171,2120 AUTO,,2120 SACKETT RD ST 1,AVON,NY,14414,LIVI,WESLY ALDRICH,,DLU,01/09/2024,,12/31/2025,POINT (-77.76194238 42.897633716)
7117059,BOB JOHNSON,390 CHEVROLET INC,2780 LAKEVILLE ROAD,AVON,NY,14414,LIVI,GREGORY J STAHL,,DLN,12/13/2013,09/28/2023,11/30/2025,POINT (-77.714251446 42.866715641)
7126791,BOB JOHNSON CHRYSLER,DODGE JEEP RAM,1695 INTERSTATE DR,AVON,NY,14414,LIVI,BJA 1695 LLC,,DLN,02/28/2020,01/30/2024,01/31/2026,POINT (-77.697946382 42.907393353)
7126792,BOB JOHNSON FORD,,1675 INTERSTATE DR,AVON,NY,14414,LIVI,BJA 1675 LLC,,DLN,02/28/2020,01/30/2024,01/31/2026,POINT (-77.697735577 42.908839901)
7092225,EAST AVON CARS,,5672 E AVON LIMA RD,AVON,NY,14414,LIVI,THOMAS W MAIER,,DLU,04/11/2002,02/20/2024,03/31/2026,POINT (-77.702752481 42.907318209)
7099809,GENESEE VALLEY,MOTORS,1675 INTERSTATE DR,AVON,NY,14414,LIVI,GENESEE VALLEY FORD,LLC,DLN,06/22/2005,04/26/2019,05/31/2021,POINT (-77.697735577 42.908839901)
7065666,GENESEE VALLEY,MOTORS INC,1695 INTERSTATE DR,AVON,NY,14414,LIVI,DOMINIC GENOVA,,DLN,03/03/1994,01/29/2020,02/28/2022,POINT (-77.697946382 42.907393353)
7055744,GUENTHER AUTOMOTIVE,INC,5625 BRUCKEL DR,AVON,NY,14414,LIVI,MICHAEL C GUENTHER,,DLU,05/16/1997,05/09/2023,05/31/2025,POINT (-77.711721872 42.867026526)
7095419,LANDPRO EQUIPMENT,LLC,PBX248 5614 TEC DR,AVON,NY,14414,LIVI,TRACY F BUCK,,DLU,08/06/2003,12/12/2017,07/31/2019,POINT (-77.705222544 42.911705339)
7108281,LEFROIS BROTHERS,AUTOMOTIVE INC,1686 LAKEVILLE RD,AVON,NY,14414,LIVI,JEFFREY H LEFROIS,,DLU,02/24/2021,04/05/2023,04/30/2025,POINT (-77.707060863 42.908006573)
7085834,MAIN DRAG AUTO SALES,NBK,2492 LAKEVILLE RD,AVON,NY,14414,LIVI,NORBERT B KELLER JR,,DLU,09/28/1999,07/19/2023,08/31/2025,POINT (-77.711718771 42.880284769)
7061448,RHODES AUTOMOTIVE,INC,PB96 4660 AVN CLDN B,AVON,NY,14414,LIVI,SCOTT R RHODES,,DLU,03/19/2007,11/03/2022,11/30/2024,POINT (-77.7354982 42.9104173)
7127834,TRUTH AND GRACE,AUTOMOTIVE LLC,2606 LAKEVLL RD STE1,AVON,NY,14414,LIVI,JOSHUA MUIR,,DLU,05/11/2022,11/03/2022,12/31/2024,POINT (-77.712586968 42.874767675)
7096843,WESTERN NEW YORK,EMPIRE CORP,2688 LAKEVILLE ROAD,AVON,NY,14414,LIVI,RICHARD R STEEN,,DLU,03/22/2004,03/01/2022,02/28/2024,POINT (-77.714230492 42.870764226)
7037181,WHITE HORSE SALES &,SERVICE INC,5574 E AVON RD,AVON,NY,14414,LIVI,CHRISTOPHER M BILL,,DLU,12/23/1986,10/06/2022,11/30/2024,POINT (-77.708768424 42.907366824)
7127706,123 AUTO SALES LLC,,3229 STATE STREET,CALEDONIA,NY,14423,LIVI,VITALIY BASISTY,,DLU,12/08/2020,01/13/2023,11/30/2024,POINT (-77.849703672 42.970589131)
7094743,CALEDONIA DIESEL LLC,,2905 SIMPSON RD,CALEDONIA,NY,14423,LIVI,PAUL E RAYMOND,,DLB,05/01/2003,03/13/2023,04/30/2025,POINT (-77.879222891 42.904348207)
7094743,CALEDONIA DIESEL LLC,,2905 SIMPSON RD,CALEDONIA,NY,14423,LIVI,PAUL E RAYMOND,,DLU,05/01/2003,03/13/2023,04/30/2025,POINT (-77.879222891 42.904348207)
7120120,MEYERS RV,SUPERSTORES,3338CALEDONIAAVON RD,CALEDONIA,NY,14423,LIVI,MD MEYERS PROPERTIES,LLC,DLU,10/19/2015,07/12/2023,09/30/2025,POINT (-77.8427071 42.9324428)
7095813,NATIONAL TRUCK,BROKERS INC,229 NORTH ST,CALEDONIA,NY,14423,LIVI,JOSEPH GIORGIONE,,DLU,10/02/2003,09/19/2023,09/30/2025,POINT (-77.853576531 42.975713323)
5260079,PJS USED CARS & AUTO,PARTS INC,2708 W MAIN ST,CALEDONIA,NY,14423,LIVI,ROBERT P JONES,,DLU,12/26/1980,10/07/2022,10/31/2024,POINT (-77.751396864 42.915027417)
7034813,SICKLES CORP,,218 HARDWOOD AV,CALEDONIA,NY,14423,LIVI,JAMES D SICKLES,,DLU,05/19/1986,03/22/2024,04/30/2026,POINT (-77.847007382 42.976403238)
7114470,TK AUTOMOTIVE,,2881 CLDNIA LEROY RD,CALEDONIA,NY,14423,LIVI,THOMAS C KRUGER,,DLU,07/30/2012,05/21/2024,06/30/2026,POINT (-77.8427071 42.9324428)
7114470,TK AUTOMOTIVE,,2881 CLDNIA LEROY RD,CALEDONIA,NY,14423,LIVI,THOMAS C KRUGER,,DLB,07/30/2012,05/21/2024,06/30/2026,POINT (-77.8427071 42.9324428)
7114470,TK AUTOMOTIVE,,2881 CLDNIA LEROY RD,CALEDONIA,NY,14423,LIVI,THOMAS C KRUGER,,YTB,07/30/2012,05/21/2024,06/30/2026,POINT (-77.8427071 42.9324428)
7100069,BEGYS DO ALL GARAGE,INC,5230 FEDERAL ROAD,CONESUS,NY,14435,LIVI,BRUCE W BEGY,,DLU,08/02/2005,08/10/2023,07/31/2025,POINT (-77.64794045 42.767933152)
7056708,CONESUS AUTOMOTIVE,,P96 6206 S LIVONIA R,CONESUS,NY,14435,LIVI,ROBERT E WIXOM JR,,DLU,08/09/2007,08/11/2023,09/30/2025,POINT (-77.676216549 42.719247412)
7104529,MARKS LEISURE TIME,MARINE,5364 EAST LAKE RD,CONESUS,NY,14435,LIVI,MARKS TRUCK CENTER,CORP,DLU,10/22/2007,05/11/2023,07/31/2025,POINT (-77.712479847 42.760483065)
7104529,MARKS LEISURE TIME,MARINE,5364 EAST LAKE RD,CONESUS,NY,14435,LIVI,MARKS TRUCK CENTER,CORP,DLB,08/01/2007,05/11/2023,07/31/2025,POINT (-77.712479847 42.760483065)
7099744,SMITH BOYS JANSEN,MARNE OF CONESUS LLC,5750 EAST LAKE RD,CONESUS,NY,14435,LIVI,BRADLEY A SMITH,,DLU,06/09/2005,05/08/2023,05/31/2025,POINT (-77.710911007 42.742159848)
7099744,SMITH BOYS JANSEN,MARNE OF CONESUS LLC,5750 EAST LAKE RD,CONESUS,NY,14435,LIVI,BRADLEY A SMITH,,DLB,06/09/2005,05/08/2023,05/31/2025,POINT (-77.710911007 42.742159848)
7099744,SMITH BOYS JANSEN,MARNE OF CONESUS LLC,5750 EAST LAKE RD,CONESUS,NY,14435,LIVI,BRADLEY A SMITH,,YTB,06/09/2005,05/08/2023,05/31/2025,POINT (-77.710911007 42.742159848)
7099608,ALIYAN AUTO SALES,INC,9973 MAIN STREET,DANSVILLE,NY,14437,LIVI,RUBINA MASOOD,,DLU,05/18/2005,05/01/2023,04/30/2025,POINT (-77.682220171 42.548634318)
7076557,BONE YARD THE,,9355 DNSVL MT MRS RD,DANSVILLE,NY,14437,LIVI,KENNETH W HOAG,,DLU,12/03/1996,11/02/2016,11/30/2018,POINT (-77.7027424 42.5622001)
5260119,DANSVILLE AUTO MART,INC,9976 MAIN ST,DANSVILLE,NY,14437,LIVI,JEFFREY L TRACY,,DLU,12/09/1980,08/07/2024,10/31/2026,POINT (-77.682353024 42.547840887)
7127321,DANSVILLE CHEVROLET,INC,139 FRANKLIN STREET,DANSVILLE,NY,14437,LIVI,BRIAN BARRETT,,DLN,09/08/2020,08/02/2024,08/31/2026,POINT (-77.713007237 42.565105093)
5260009,DANSVILLE CHRYSLER,DODGE JEEP INC,149 FRANKLIN ST,DANSVILLE,NY,14437,LIVI,GRAHAM B FRAZER,,DLN,10/28/2008,10/05/2022,10/31/2024,POINT (-77.714282543 42.565644888)
7133039,DANSVILLE CHRYSLER,DODGE JEEP RAM,149 FRANKLIN STREET,DANSVILLE,NY,14437,LIVI,DANSVILLE AUTO GROUP,LLC,DLN,06/28/2024,,05/31/2026,POINT (-77.714282543 42.565644888)
7042034,DANSVILLE COLLISION,INC,11 SPRUCE ST,DANSVILLE,NY,14437,LIVI,DAVID M HOAG,,DLU,03/29/1993,11/28/2023,12/31/2025,POINT (-73.796580664 42.109070719)
7041081,DANSVILLE RADIATOR,,PB351 9989 S MAIN ST,DANSVILLE,NY,14437,LIVI,KENNETH LEE ABBEY,,DLU,10/27/1987,07/17/2023,09/30/2025,POINT (-77.681020469 42.54773494)
7113395,D&L SPEEDY AUTO LLC,,9455 FOSTER WHLR RD,DANSVILLE,NY,14437,LIVI,DANIEL L LADUE,,DLU,02/19/2013,12/22/2017,11/30/2019,POINT (-77.7027424 42.5622001)
7041047,GROVELAND STATION,AUTOMOTIVE,3 MAIN STREET,DANSVILLE,NY,14437,LIVI,EDWARD T ZIRGULIS,,DLU,10/20/1987,09/14/2023,09/30/2025,POINT (-77.684849323 42.549866374)
7113443,MADDIES MOTOR SPORTS,LLC,116 CLARA BARTON ST,DANSVILLE,NY,14437,LIVI,MARY M MARCUS,,DLU,01/05/2012,11/28/2023,12/31/2025,POINT (-77.699910094 42.549718685)
7113443,MADDIES MOTOR SPORTS,LLC,116 CLARA BARTON ST,DANSVILLE,NY,14437,LIVI,MARY M MARCUS,,DLS,05/09/2012,11/28/2023,12/31/2025,POINT (-77.699910094 42.549718685)
7106734,SICK BROTHERS LLC,,9094 DANSVLE MT MRRS,DANSVILLE,NY,14437,LIVI,DAVID SICK,,DLS,12/23/2016,07/30/2024,07/31/2026,POINT (-77.741784741 42.584209378)
7106734,SICK BROTHERS LLC,,9094 DANSVLE MT MRRS,DANSVILLE,NY,14437,LIVI,DAVID SICK,,DLU,11/08/2019,07/30/2024,07/31/2026,POINT (-77.741784741 42.584209378)
7098100,SKYBROOK CAMPGROUND,INC,10861 MCCURDY RD,DANSVILLE,NY,14437,LIVI,RANDY A GALLAGHER,,DLU,09/03/2004,08/23/2018,08/31/2020,POINT (-77.73220607 42.504861924)
7122570,TWO TS TRUCK AND,AUTO REPAIR,3 MAIN ST,DANSVILLE,NY,14437,LIVI,W THOMAS BARRETT 3,,DLU,08/03/2017,,07/31/2019,POINT (-77.684849323 42.549866374)
7061998,WAGER ASSOCIATES INC,,10248 HARTMAN STE 1,DANSVILLE,NY,14437,LIVI,WILLIAM M SIDORE,,DLU,03/25/1993,02/24/2023,02/28/2025,POINT (-77.664562267 42.501501074)
5260189,WENTWORTH MOTORS INC,,139 FRANKLIN ST,DANSVILLE,NY,14437,LIVI,WILLIAM WENTWORTH,,DLN,12/15/1982,11/08/2018,01/31/2021,POINT (-77.713007237 42.565105093)
7017547,WILCOX BOAT CO,,10221 SANDY HILL RD,DANSVILLE,NY,14437,LIVI,BARBARA A WILCOX,,DLU,12/14/1981,07/05/2024,07/31/2026,POINT (-77.691467087 42.539439244)
7015701,PIONEER TRUCK SALES,INC,1642 W HENRIETTA RD,EAST AVON,NY,14414,LIVI,GENE PESKOR,,DLU,12/30/1980,10/31/2023,12/31/2025,POINT (-77.706805047 42.909698376)
7060082,CROSSBOW AUTO,WHOLESALE,57 MAIN ST,GENESEO,NY,14454,LIVI,ROBERT C ARMBRUSTER,,DLU,08/25/1992,06/25/2024,07/31/2026,POINT (-77.816462134 42.796706843)
7034126,CROSSBOW YACHT,BROKERAGE&SALES,57 MAIN ST,GENESEO,NY,14454,LIVI,ROBERT C ARMBRUSTER,,DLB,04/11/1986,03/31/2024,03/31/2026,POINT (-77.816462134 42.796706843)
7034126,CROSSBOW YACHT,BROKERAGE&SALES,57 MAIN ST,GENESEO,NY,14454,LIVI,ROBERT C ARMBRUSTER,,YTB,04/11/1986,03/31/2024,03/31/2026,POINT (-77.816462134 42.796706843)
7092454,NORTH STAR AUTO,SUPPLY INC,5595 BARBER HILL RD,GENESEO,NY,14454,LIVI,JAMES A DUDLEY,,DLU,05/07/2002,02/23/2024,04/30/2026,POINT (-77.74008246 42.747434998)
7022615,ROY TEITSWORTH INC,,6502 BARBER HILL RD,GENESEO,NY,14454,LIVI,ROY G TEITSWORTH,,DLU,08/31/1983,08/23/2024,09/30/2026,POINT (-77.734996573 42.708851547)
7123242,TEITSWORTH TRAILERS,LLC,6497 BARBER HILL RD,GENESEO,NY,14454,LIVI,RAY G TEITSWORTH,,DLU,11/21/2017,08/16/2023,10/31/2025,POINT (-77.734291152 42.709640326)
7129415,PHOENIX MOTOR GROUP,LLC,4635 FLATS ROAD,GROVELAND,NY,14462,LIVI,JOSEPH REGATUSO,,DLU,01/20/2022,05/15/2024,12/31/2025,POINT (-77.77060625 42.661577362)
7065230,TERRYS,,7192 GROVELAND HILL,GROVELAND,NY,14462,LIVI,TERRY L SAWDEY,,DLU,01/06/1994,11/30/2023,12/31/2025,POINT (-77.760564395 42.674882208)
7101999,UPSTATE WHEELS INC,,7497 GROVELAND ST RD,GROVELAND,NY,14462,LIVI,LOUIS F BROTHERS,,DLU,06/08/2006,04/28/2022,05/31/2024,POINT (-77.76657355 42.661366425)
5260051,CORBYS COLLISION INC,,BX352 1212 ROCHESTER,HONEOYE FALLS,NY,14472,LIVI,LARRY CORBY,,DLU,02/05/1982,10/08/2020,10/31/2022,POINT (-77.611888592 42.93461905)
7057917,PK INDUSTRIES,,7556 CORBY RD,HONEOYE FALLS,NY,14472,LIVI,PETER KUMMER,,DLU,02/21/1992,12/28/2023,01/31/2026,POINT (-77.595059945 42.933162759)
7119162,EASTSIDE AUTOMOTIVE,LLC,9942 SMITH HIL RD S1,HUNT,NY,14846,LIVI,GINELLE L MELLIN,,DLU,03/11/2015,02/23/2023,02/28/2025,POINT (-77.991681126 42.546018661)
7087151,ELLSWORTH TOWING,SERVICE,1273 RT 70,HUNT,NY,14846,LIVI,ROBERT ELLSWORTH,,DLU,07/22/2005,03/08/2018,03/31/2020,POINT (-77.982263387 42.555023801)
7114131,BAGLEYS AUTO SALES,LLC,PB641 5812 BIGTREE R,LAKEVILLE,NY,14480,LIVI,DIANE S BAGLEY,,DLU,05/30/2012,03/22/2024,04/30/2026,POINT (-77.704552243 42.835938718)
7114131,BAGLEYS AUTO SALES,LLC,PB641 5812 BIGTREE R,LAKEVILLE,NY,14480,LIVI,DIANE S BAGLEY,,DLB,05/30/2012,03/22/2024,04/30/2026,POINT (-77.704552243 42.835938718)
7115230,DRJ REPAIR SERVICES,,3191 ROCHESTER ROAD,LAKEVILLE,NY,14480,LIVI,DARYL JOHNSTON,,DLU,12/14/2012,11/30/2022,11/30/2024,POINT (-77.707888241 42.847382949)
7113251,GILLERNS AUTO SALES,,5614 BIG TREE RD,LAKEVILLE,NY,14480,LIVI,CHAD E GILLERN,,DLU,11/23/2011,08/28/2019,10/31/2021,POINT (-77.713960594 42.834573473)
7105771,G&L EQUIPMENT,COMPANY INC,1855 STARR ROAD,LEICESTER,NY,14481,LIVI,GERALD T BOOTH,,DLU,03/20/2008,02/01/2024,02/28/2026,POINT (-77.941386438 42.803878776)
7067146,LOGIES SNOWMOBILE,REPAIR,2290 DUNKLEY RD,LEICESTER,NY,14481,LIVI,RICHARD LOGSDON,,DLS,02/05/1998,12/28/2023,01/31/2026,POINT (-77.913980548 42.773653675)
7088426,PINE TAVERN AUTO,SALES INC,2178 PINE TAVERN RD,LEICESTER,NY,14481,LIVI,DAVID M HARRIS,,DLU,09/19/2000,06/30/2024,08/31/2026,POINT (-77.879351509 42.756311932)
7116315,S BEACH AUTO CENTER,INC,18 MT MORRIS ROAD,LEICESTER,NY,14481,LIVI,SCOTT M BEACH,,DLU,07/17/2013,05/26/2023,06/30/2025,POINT (-77.893246905 42.770447262)
7049163,EAST END MOTORS,,POB 466-7573 E MAIN,LIMA,NY,14485,LIVI,EDMUND A GARBACIK SR,,DLU,09/15/1989,08/17/2017,08/31/2019,POINT (-77.596959402 42.908875967)
7132924,VANS FOR SALE LLC,,1450 ROCHESTER ST118,LIMA,NY,14485,LIVI,OGUZHAN ENGIN,,DLU,05/31/2024,,04/30/2026,POINT (-77.612270674 42.922421141)
7046868,ALFALFA MOTORS,,6684 CLEARY ROAD,LIVONIA,NY,14487,LIVI,ATTILIO APPOLLONIO,,DLU,03/01/1989,02/26/2021,02/28/2023,POINT (-77.648393492 42.791451473)
7062933,COMMERCIAL AUTOMOTVE,OF LIVONIA INC,32 CMMRCAL ST POB409,LIVONIA,NY,14487,LIVI,ERIC R GOTT,,DLU,02/23/1996,04/11/2023,04/30/2025,POINT (-77.6602801 42.8049508)
5260053,FUGLES INC,,5278 S LIVONIA RD,LIVONIA,NY,14487,LIVI,WILLIAM F FUGLE,,DLU,12/15/1980,10/06/2022,10/31/2024,POINT (-77.671371306 42.763740021)
7023251,FUSCOS USED CARS &,TRUCKS,4660 SHELLY RD,LIVONIA,NY,14487,LIVI,LEO J FUSCO,,DLU,11/23/1983,07/18/2023,07/31/2025,POINT (-77.665967493 42.794194535)
7029151,LARRYS AUTO SALES,,3501 POPLAR HILL RD,LIVONIA,NY,14487,LIVI,LARRY S FUGLE,,DLU,05/07/1985,01/04/2023,01/31/2025,POINT (-77.660776916 42.832458887)
7035244,LIVINGSTON,AUTOMOTIVE,COR RT 15 & 20A,LIVONIA,NY,14487,LIVI,MICHAEL FUOCO,,DLU,06/24/1986,04/09/2024,05/31/2026,POINT (-77.679125992 42.823615015)
7034193,RICHARDS MARINE,SERVICE,4087 E LAKE RD,LIVONIA,NY,14487,LIVI,DONALD F RICHARDS,,DLB,04/17/1986,01/18/2018,03/31/2020,POINT (-77.696756151 42.818216818)
7121415,SCD AUTO SALES,,PB63 14 MAIN ST B,LIVONIA,NY,14487,LIVI,STEVEN C DIENER,,DLU,09/16/2016,08/16/2024,08/31/2026,POINT (-77.669797855 42.821315398)
7050933,SHERSON RACE HIRE,INC,3 MAIN ST,LIVONIA,NY,14487,LIVI,MARK R SHERWOOD,,DLU,03/19/1990,02/05/2024,02/28/2026,POINT (-77.67139268 42.822653862)
7117616,ODELL AUTO,,1 NORTH MAIN STREET,MOUNT MORRIS,NY,14510,LIVI,KRISTIN R ODELL,,DLU,04/07/2014,03/30/2018,03/31/2020,POINT (-77.875886558 42.728442318)
7125883,ROUTE 36 AUTO,,1 N MAIN STREET,MOUNT MORRIS,NY,14510,LIVI,DEREK LAMOY,,DLU,07/23/2019,,06/30/2021,POINT (-77.875886558 42.728442318)
7121772,WILLIAMSBURG WHEELS,,3527 ABELE RD,MOUNT MORRIS,NY,14510,LIVI,MICHELE E BOOHER,,DLU,12/06/2016,09/19/2022,11/30/2024,POINT (-77.826904309 42.748306423)
7092124,B&B AUTO SALES,,26 MILL ST,MT MORRIS,NY,14510,LIVI,STEVEN BARTHOLOMEW,,DLU,04/01/2002,03/19/2024,03/31/2026,POINT (-77.87309111 42.727330082)
7087017,BEST BUY AUTO SALES,,2131 BARRON RD,MT MORRIS,NY,14510,LIVI,ALLEN F MCCLEMENTS,,DLU,04/12/2000,03/19/2024,03/31/2026,POINT (-77.92379056 42.637739606)
7113289,HAINSWORTH FARMS LLC,,6101 LOGAN RD,MT MORRIS,NY,14510,LIVI,ALAN C HAINSWORTH,,DLU,12/01/2011,11/07/2023,11/30/2025,POINT (-77.783983768 42.724574196)
7065258,LIV WYO TRANSPORTATN,SERVICES INC,3 EAST STATE ST,MT MORRIS,NY,14510,LIVI,CYNTHIA R HUETHER,,DLU,01/10/1994,12/02/2023,12/31/2025,POINT (-77.87136712 42.727438501)
5260061,MACALUSO OIL CO INC,,5234 MT MORRIS LEICR,MT MORRIS,NY,14510,LIVI,NICHOLAS J MACALUSO,,DLU,11/21/1980,09/29/2022,10/31/2024,POINT (-77.889113118 42.76608532)
7127401,ODELL AUTO,,1 NORTH MAIN STREET,MT MORRIS,NY,14510,LIVI,MATTHEW J ODELL,,DLU,09/29/2020,07/03/2024,08/31/2026,POINT (-77.875886558 42.728442318)
7091936,ORLANDO SALES &,SERVICE LLC,64 NORTH MAIN ST,MT MORRIS,NY,14510,LIVI,TIMOTHY J ORLANDO,,DLU,03/14/2002,02/21/2024,02/28/2026,POINT (-77.87720126 42.73202072)
7029906,PELLICANE MOTORS,,117 NORTH MAIN ST,MT MORRIS,NY,14510,LIVI,RONALD PELLICANE,,DLU,04/18/1985,03/06/2023,03/31/2025,POINT (-77.880453271 42.735935949)
7093829,COUNTRY LEGEND,WOODWORKS,60N STATE ST STE 7,NUNDA,NY,14517,LIVI,TIMOTHY P SWEETING,,DLU,12/17/2002,11/22/2022,11/30/2024,POINT (-77.942007286 42.582986081)
5260024,DOUGLASS FORD,,PO BX879 5 EAST ST,NUNDA,NY,14517,LIVI,GERALD E DOUGLAS,,DLN,12/15/1980,10/05/2022,10/31/2024,POINT (-77.941961101 42.579881676)
5260045,MCMASTER GARAGE INC,,POBX893 3 PORTAGE ST,NUNDA,NY,14517,LIVI,JAMES MCMASTER,,DLU,12/15/1980,09/29/2022,10/31/2024,POINT (-77.943347803 42.579620663)
